Players,Salary
Stephen Curry,48070014
Russell Westbrook,47063478
LeBron James,44474988
Kevin Durant,44119845
Bradley Beal,43279250
Damian Lillard,42492492
Giannis Antetokounmpo,42492492
Kawhi Leonard,42492492
Paul George,42492492
Klay Thompson,40600080
Kyrie Irving,38917057
Rudy Gobert,38172414
Anthony Davis,37980720
Khris Middleton,37948276
Jimmy Butler,37653300
Tobias Harris,37633050
Zach LaVine,37096500
Luka Doncic,37095000
Trae Young,37095000
Pascal Siakam,35448672
Ben Simmons,35448672
Myles Turner,35096500
Kristaps Porzingis,33833400
Devin Booker,33833400
Karl-Anthony Towns,33833400
Jrue Holiday,33665040
Joel Embiid,33616770
Andrew Wiggins,33616770
CJ McCollum,33333333
Nikola Jokic,33047804
James Harden,33000000
Brandon Ingram,31650600
Jamal Murray,31650000
D'Angelo Russell,31377750
Shai Gilgeous-Alexander,30913750
Deandre Ayton,30913750
Michael Porter Jr.,30913750
Donovan Mitchell,30913750
Bam Adebayo,30351780
Gordon Hayward,30075000
